1,4,6,,,67,85,92,198
8300,HgBa2CuO4+z,Hg1Ba2Cu1O4.096,,,Hg1201,K,95.6,"Physica.C,297(1998)103-110"
8301,HgBa2CuO4+z,Hg1Ba2Cu1O4.097,,,Hg1201,K,95.3,"Physica.C,297(1998)103-110"
5436,HgBa2CuO4,Hg1Ba2Cu1O4.1,,,Hg1201,K,35,"Physica C.,243(1995)1-9"
6938,HgBa2CuOz,Hg1Ba2Cu1O4.1,,,Hg1201,K,92,"Physica.C,265(1996)13-18"
8302,HgBa2CuO4+z,Hg1Ba2Cu1O4.1,,,Hg1201,K,94.1,"Physica.C,297(1998)103-110"
30609,HgBa2CuO4+z,Hg1Ba2Cu1O4.1,,,Hg1201,K,60,"Phys.Rev.B,61(2000)R3808-R3810"
33302,HgBa2CuO4+z,Hg1Ba2Cu1O4.1,,,Hg1201,K,60,"Phys.Rev.B, 60(1999)14617"
8303,HgBa2CuO4+z,Hg1Ba2Cu1O4.101,,,Hg1201,K,93.4,"Physica.C,297(1998)103-110"
8304,HgBa2CuO4,Hg1Ba2Cu1O4.103,,,Hg1201,K,92.5,"Physica.C,297(1998)103-110"
8305,HgBa2CuO4,Hg1Ba2Cu1O4.105,,,Hg1201,K,90.9,"Physica.C,297(1998)103-110"
8306,HgBa2CuO4,Hg1Ba2Cu1O4.108,,,Hg1201,K,89.1,"Physica.C,297(1998)103-110"
5439,HgBa2CuO4,Hg1Ba2Cu1O4.117,,,Hg1201,K,82,"Physica C.,243(1995)19-23"
6093,HgBa2CuO4,Hg1Ba2Cu1O4.12,,,Hg1201,K,89,"Physica.C,255(1995)173-179"
6939,HgBa2CuOz,Hg1Ba2Cu1O4.12,,,Hg1201,K,71,"Physica.C,265(1996)13-18"
11836,HgBa2CuO4,Hg1Ba2Cu1O4.12,,,Hg1201,K,74,"Phys.Rev.B,52(1995)6854"
13026,HgBa2CuO4+z,Hg1Ba2Cu1O4.12,,,Hg1201,K,98,"Phys.Rev.B,55(1997)3966"
6940,HgBa2CuOz,Hg1Ba2Cu1O4.13,,,Hg1201,K,60,"Physica.C,265(1996)13-18"
19503,HgBa2CuO4+Z,Hg1Ba2Cu1O4.13,,,Hg1201,K,97,"Phys.Rev.B,59(1999)7209"
9598,HgBa2CuO4,Hg1Ba2Cu1O4.15,data_291054-ICSD,_chemical_formula_structural 'Hg Ba2 Cu O4.15',Hg1201,K,97.2,"Phys.Rev.B,63(2001)014508"
31201,HgBa2CuO4,Hg1Ba2Cu1O4.15,,,Hg1201,K,96.8,"Phys.Rev.B, 62(2000)4148-4153"
12510,HgBa2CuO4+delta,Hg1Ba2Cu1O4.16,,,Hg1201,K,88,"Phys.Rev.B,53(1996)2811"
9602,HgBa2CuO4,Hg1Ba2Cu1O4.162,,,Hg1201,K,97.4,"Phys.Rev.B,63(2001)014508"
10555,HgBa2CuO4+d,Hg1Ba2Cu1O4.17,,,Hg1201,K,78,"Phys.Rev.B,50(1994)10346"
6476,HgBa2CuO4,Hg1Ba2Cu1O4.18,data_41633-ICSD,_chemical_name_common 'Mercury barium copper oxide (1/2/1/4.18)',Hg1201,K,93.2,"Physica.C,251(1995)216-218"
10556,HgBa2CuO4+d,Hg1Ba2Cu1O4.18,data_41635-ICSD,_chemical_formula_structural 'Hg Ba2 Cu O4.18',Hg1201,K,97,"Phys.Rev.B,50(1994)10346"
11792,HgBa2CuO4,Hg1Ba2Cu1O4.18,data_41639-ICSD,_chemical_formula_structural 'Hg Ba2 Cu O4.18',Hg1201,K,95,"Phys.Rev.B,52(1995)462"
11794,HgBa2CuO4,Hg1Ba2Cu1O4.18,,,Hg1201,K,94,"Phys.Rev.B,52(1995)462"
31202,HgBa2CuO4,Hg1Ba2Cu1O4.18,,,Hg1201,K,96.6,"Phys.Rev.B, 62(2000)4148-4153"
11837,HgBa2CuO4,Hg1Ba2Cu1O4.19,data_41636-ICSD,_chemical_formula_structural 'Hg Ba2 Cu O4.19',Hg1201,K,95,"Phys.Rev.B,52(1995)6854"
13025,HgBa2CuO4+z,Hg1Ba2Cu1O4.19,,,Hg1201,K,83,"Phys.Rev.B,55(1997)3966"
19504,HgBa2CuO4+Z,Hg1Ba2Cu1O4.19,,,Hg1201,K,70,"Phys.Rev.B,59(1999)7209"
